datetime,open,high,low,close,volume,Name
20-07-2018,1340,1366.55,1331,1333.3,3305843,KOTAKBANK
23-07-2018,1330,1351,1322.3,1337.05,1957666,KOTAKBANK
24-07-2018,1342,1348.95,1305.15,1312.25,3125964,KOTAKBANK
25-07-2018,1309,1317.5,1294,1314.9,3117078,KOTAKBANK
26-07-2018,1311.65,1322.5,1294.35,1311.25,3664497,KOTAKBANK
27-07-2018,1313.05,1327,1305.65,1311.1,1885821,KOTAKBANK
30-07-2018,1307.9,1307.9,1285.5,1305.25,1720338,KOTAKBANK
31-07-2018,1303.8,1313.6,1287.15,1306.85,1827739,KOTAKBANK
01-08-2018,1304.85,1326.1,1304.85,1312.7,1684489,KOTAKBANK
02-08-2018,1309.65,1311,1276.7,1280.2,2065057,KOTAKBANK
03-08-2018,1297,1314,1289.35,1309.5,2745749,KOTAKBANK
06-08-2018,1313.95,1314,1279,1282.8,1895761,KOTAKBANK
07-08-2018,1287,1298.9,1274.15,1283.7,1751392,KOTAKBANK
08-08-2018,1288,1299.7,1282.55,1288.3,1517072,KOTAKBANK
09-08-2018,1292,1292,1270.1,1277.25,1422779,KOTAKBANK
10-08-2018,1273.05,1289.9,1272,1285.5,1539484,KOTAKBANK
13-08-2018,1275,1291.25,1275,1287.15,1981311,KOTAKBANK
14-08-2018,1290,1298.8,1285,1293,1605329,KOTAKBANK
16-08-2018,1270,1272,1242.75,1245.4,5749494,KOTAKBANK
17-08-2018,1252,1273.95,1245,1263.25,3253970,KOTAKBANK
20-08-2018,1263.25,1280.25,1261.45,1274.75,1054743,KOTAKBANK
21-08-2018,1269.25,1272.6,1260.25,1263.4,1143471,KOTAKBANK
23-08-2018,1264,1264,1238,1247.7,3151993,KOTAKBANK
24-08-2018,1248.9,1263.95,1242.35,1254.5,2214361,KOTAKBANK
27-08-2018,1260.05,1284.95,1258.3,1274.9,2499503,KOTAKBANK
28-08-2018,1279.4,1295,1275.15,1285.1,1608796,KOTAKBANK
29-08-2018,1282.15,1295,1275,1288.6,1473564,KOTAKBANK
30-08-2018,1282,1282,1263.4,1278.05,2372843,KOTAKBANK
31-08-2018,1275.55,1294,1275.55,1287.25,1569633,KOTAKBANK
03-09-2018,1292,1295,1265,1269.1,2076747,KOTAKBANK
04-09-2018,1270,1275.3,1251.1,1257.6,2001489,KOTAKBANK
05-09-2018,1257,1266,1227.6,1238.15,2262546,KOTAKBANK
06-09-2018,1242,1264.6,1238.15,1260.9,2947633,KOTAKBANK
07-09-2018,1257,1260,1238.1,1244.95,1452290,KOTAKBANK
10-09-2018,1241,1241.5,1215,1223.35,2437820,KOTAKBANK
11-09-2018,1227,1227.65,1203.75,1206.4,2287373,KOTAKBANK
12-09-2018,1206,1233.75,1200,1230.4,2105288,KOTAKBANK
14-09-2018,1240,1244.65,1228.55,1239.55,1921249,KOTAKBANK
17-09-2018,1227.65,1238.9,1221.65,1230.4,1861679,KOTAKBANK
18-09-2018,1227.95,1233.85,1210.5,1215.3,2270665,KOTAKBANK
19-09-2018,1217,1234,1217,1226.9,2077024,KOTAKBANK
21-09-2018,1227,1246,1143,1180.2,4533128,KOTAKBANK
24-09-2018,1180,1182.95,1144.3,1148.7,3457790,KOTAKBANK
25-09-2018,1146,1191.1,1120.15,1183.35,3776071,KOTAKBANK
26-09-2018,1186.1,1188.65,1161.3,1169.4,2446177,KOTAKBANK
27-09-2018,1172,1177.15,1138.95,1142.45,3967316,KOTAKBANK
28-09-2018,1147,1163,1133.35,1141.6,3421603,KOTAKBANK
01-10-2018,1090,1130.8,1002.2,1122,10535080,KOTAKBANK
03-10-2018,1116.9,1138.55,1086.1,1098.25,2961974,KOTAKBANK
04-10-2018,1085,1094.55,1056.6,1074.5,3439111,KOTAKBANK
05-10-2018,1070.7,1088.95,1040.45,1052.2,3767039,KOTAKBANK
08-10-2018,1050.05,1116.8,1044.15,1104.3,4067810,KOTAKBANK
09-10-2018,1106,1126.5,1085.5,1108.45,3114848,KOTAKBANK
10-10-2018,1113.5,1146.6,1112.25,1137.75,3385261,KOTAKBANK
11-10-2018,1100,1120,1095,1115.55,2283217,KOTAKBANK
12-10-2018,1122,1173.15,1122,1167.15,6276615,KOTAKBANK
15-10-2018,1170,1183.8,1157.5,1170.45,3181839,KOTAKBANK
16-10-2018,1171.5,1181.7,1162.75,1175.75,3685402,KOTAKBANK
17-10-2018,1185,1188.65,1172.25,1176,4792844,KOTAKBANK
19-10-2018,1165,1206,1160.6,1198.95,3566784,KOTAKBANK
22-10-2018,1205.2,1219.2,1157.5,1164,4342603,KOTAKBANK
23-10-2018,1150,1179.8,1143.55,1174.45,2237537,KOTAKBANK
24-10-2018,1185,1195.05,1153.95,1177.1,4309834,KOTAKBANK
25-10-2018,1173,1194.2,1165,1185.8,3613893,KOTAKBANK
26-10-2018,1185,1193,1152.3,1158.6,1842212,KOTAKBANK
29-10-2018,1152.1,1152.9,1098.45,1138.1,3711300,KOTAKBANK
30-10-2018,1140,1146,1115.3,1123.8,1950633,KOTAKBANK
31-10-2018,1129.1,1135,1107,1119.15,2764840,KOTAKBANK
01-11-2018,1123.7,1126.75,1101.1,1109.55,2669317,KOTAKBANK
02-11-2018,1118.25,1146,1112.5,1133.2,3900710,KOTAKBANK
05-11-2018,1135,1135,1115.5,1129.45,1403820,KOTAKBANK
06-11-2018,1128.45,1140,1121.15,1125.3,2106333,KOTAKBANK
07-11-2018,1134,1139.3,1132.35,1134.3,163566,KOTAKBANK
09-11-2018,1132,1138.85,1115.75,1135.55,1636807,KOTAKBANK
12-11-2018,1139,1161.95,1138.15,1153.7,2287379,KOTAKBANK
13-11-2018,1150,1171.4,1140,1165.9,2117621,KOTAKBANK
14-11-2018,1170.1,1175,1122.4,1129.9,2706898,KOTAKBANK
15-11-2018,1139,1166,1132,1162.25,3049191,KOTAKBANK
16-11-2018,1172,1173,1152.75,1168.6,1862043,KOTAKBANK
19-11-2018,1175,1188.95,1165,1175.25,2005694,KOTAKBANK
20-11-2018,1170,1178.3,1162.15,1169.95,1805161,KOTAKBANK
21-11-2018,1169.95,1185,1169.85,1176.7,1432572,KOTAKBANK
22-11-2018,1171,1182,1167.6,1170.6,1257089,KOTAKBANK
26-11-2018,1173.15,1180,1153.05,1170.55,2456379,KOTAKBANK
27-11-2018,1163.1,1178.95,1163.1,1173.55,1737759,KOTAKBANK
28-11-2018,1172.15,1187.7,1157.6,1160.25,1950956,KOTAKBANK
29-11-2018,1165.5,1219.9,1157,1212.95,6607241,KOTAKBANK
30-11-2018,1209,1238.4,1197.7,1233.95,3005495,KOTAKBANK
03-12-2018,1240,1244,1218.4,1226.1,1817913,KOTAKBANK
04-12-2018,1227,1236.3,1210,1225.3,1565130,KOTAKBANK
05-12-2018,1221.55,1228.4,1203,1211.5,2856527,KOTAKBANK
06-12-2018,1205,1205,1171.15,1180.25,3097300,KOTAKBANK
07-12-2018,1181,1345.95,1176.15,1279.65,33807620,KOTAKBANK
10-12-2018,1244.1,1289.9,1188,1198.35,18948036,KOTAKBANK
11-12-2018,1189,1239,1171,1218.7,10078591,KOTAKBANK
12-12-2018,1229.4,1261,1224.2,1237.15,6563999,KOTAKBANK
13-12-2018,1240,1271.8,1228.6,1264.4,4227732,KOTAKBANK
14-12-2018,1264.4,1271.7,1247.1,1255.95,2671529,KOTAKBANK
17-12-2018,1260,1266,1207.05,1222.45,7385641,KOTAKBANK
18-12-2018,1214.9,1239.65,1214,1237.1,3678466,KOTAKBANK
19-12-2018,1238.8,1245.7,1222.1,1225.65,3032003,KOTAKBANK
20-12-2018,1219.8,1239.4,1215.6,1236.3,2300954,KOTAKBANK
21-12-2018,1240,1242.9,1223.65,1227.2,2208029,KOTAKBANK
24-12-2018,1230,1243.45,1221,1238.5,1539829,KOTAKBANK
26-12-2018,1234.5,1250.8,1210.5,1248.15,2379224,KOTAKBANK
27-12-2018,1257.25,1258.65,1235.35,1240.25,2653738,KOTAKBANK
28-12-2018,1244.25,1250.9,1235.05,1241.35,1740134,KOTAKBANK
